#This txt sheet contains the sum of the FC values for every run that is present in the PIDclary folder
#The files in the PIDclary folder are the output of the PID analysis which checked to see if there was 
#a corresponding fcrationom file to the root22 file. 
#Brandon Clary
#Output of FCAdd.py
#5-24-2017
58700 37902392 37820614
58701 15742626 15699379
58702 0 0
58703 3379438 3368089
58704 5824053 5810892
58705 10096149 10070176
58706 10551354 10528706
58707 109825848 109650306
58709 59980491 59903743
58713 47343056 47225380
58714 73514975 73483305
58715 66674266 66548852
58716 47479888 47482965
58717 47776414 47829477
58724 2053035 2049220
58725 25338679 25268982
58728 2810913 2805567
58729 1719618 1715672
58730 1024449 1018678
58731 1956340 1954934
58732 5109943 5096274
58740 19159120 19141063
58741 35016611 35025388
58742 44393627 44442084
58743 39448867 39497912
58744 1693122 1692180
58745 5081254 5076786
58746 4704516 4707126
58747 13116569 13137758
58748 6846280 6856086
58749 5241479 5255185
58787 16689319 16602205
58788 4624956 4601756
58789 6981039 6946132
58794 27944989 27862036
58795 24302060 24221917
58796 1415499 1410726
58799 71996411 71811590
58800 43159946 43081256
58801 46312632 46264250
58802 63509576 63421169
58803 57099376 57182015
58805 33793229 33795297
58806 22386783 22355924
58807 122884317 122801773
58808 179413558 179327088
58809 194090912 193889626
58810 101268602 101147729
58813 32213437 32176422
58814 105035736 105025550
58815 17690002 17685433
58816 6527843 6543587
58832 69900386 69751841
58833 64881966 64798999
58834 25487092 25463996
58835 79049243 78999877
58836 77183594 77126612
58837 80441624 80319700
58838 80072517 80106675
58839 58880180 58946576
58840 77258449 77222774
58841 1462524 1469599
58904 207807190 207612418
58905 200561171 200440804
58906 134234548 134051339
58916 43128465 43035359
58917 171980285 171797846
58918 175498285 175389673
58919 179572840 179480954
58920 192452563 192262843
58921 202153188 202077043
58922 207550286 207167644
58923 190136176 189878761
58924 194918089 194654576
58925 187293095 187435141
58926 203182258 203722778
58927 198453603 199227136
58928 22189574 22397020
58929 197507465 197930698
58930 18246528 18237540
58931 21971044 22029910
58936 203219214 203376165
58937 198926702 199081245
58938 145876472 146143808
58939 23816295 23756566
58940 177102602 177517260
58941 177060779 177331205
58942 221532140 221817423
58943 223160397 223233119
58944 212629093 212788759
58945 243939284 244136672
58946 234039520 234249177
58947 207591976 207847314
58948 33258124 33285136
58951 218057833 218106445
58952 220341259 220626488
58953 218330839 218651327
58954 212586438 212736557
58955 212574293 212589953
58956 172642180 172930862
58958 27996703 28004819
58959 102563392 102529680
58968 219365585 219440045
58969 113106605 113183946
58970 115803889 115833494
58971 53342068 53385701
58972 237422254 237208003
58973 93607669 93451544
58974 230556238 230697713
58975 59613124 59712012
58976 216097241 216445809
58977 235508147 235454371
58978 96790807 96625729
58979 63723505 63748316
58980 24483423 24482511
58981 228146036 228042375
58982 16429970 16471882
58983 203721617 203741666
58984 66451773 66411708
58985 212684211 212539493
58986 220846333 220573320
58987 216614408 216385265
58988 207530153 207369701
58989 204476615 204545753
58990 223144274 223397621
58991 225972063 226339741
58992 89670766 89637044
58997 213131398 213300440
58998 252803372 252971175
58999 198098702 198313538
59000 217089032 217526467
59001 222520717 223215204
59002 224156298 224361745
59003 246421222 246637807
59004 49665567 49768534
59005 213557308 213766600
59006 224318603 224574364
59007 196024516 196298248
59008 229705505 230011396
59009 229938883 230248823
59010 105984690 105975263
59011 213303337 213580785
59012 168482652 168665943
59013 220640651 220475972
59014 220182329 220259634
59015 148058799 148206406
59016 191818632 191925152
59019 230041343 229877691
59020 244730236 244799667
59021 24313017 24305316
59022 238052029 238105569
59024 99560363 99645970
59025 215903900 216157531
59026 138192745 138684035
59027 13461430 13496990
59028 13532624 13523037
59029 241433290 240910777
59030 94448105 94500388
59031 19945919 19922572
59032 92729687 92617422
59038 205530990 205333500
59039 230334386 230106867
59040 222126650 221616169
59041 218854975 218432271
59042 69988199 69871742
59043 159792208 159836748
59044 175814202 175801371
59045 48053877 48071381
59046 168644605 168462588
59047 244814096 244610208
59048 213654818 213479366
59049 191210457 191075589
59050 256714342 256619937
59051 273385070 273417027
59052 52952316 52909007
59053 225309740 225373047
59054 212409665 212558847
59055 224815629 224895222
59056 230600782 230703336
59057 223931345 223706499
59058 248830752 249080783
59059 125593749 125560633
59060 158850343 158919752
59070 24688239 24790481
59071 209693557 209812156
59072 215126548 215233715
59073 224915428 224884094
59074 163025317 163064000
59075 174516795 174580775
59076 105529809 105600203
59077 170099718 170204095
59078 206410795 206544695
59079 222697149 222935966
59080 247264429 247390712
59081 105614837 105664090
59082 44456344 44436932
59083 198943272 198871478
59084 122775080 122578308
59085 226362348 226228622
59086 24631889 24616166
59087 33969360 33930625
59088 210365639 210241333
59089 100722459 100689831
59090 211825502 211678644
59092 194265732 194407629
59093 110449710 110286646
59095 33871420 33910971
59098 222494869 222534734
59099 220171633 220330061
59100 236096846 236292707
59101 213131237 212920017
59102 129196776 129102018
59103 164130489 163969722
59104 92794302 92694039
59105 13385008 13399596
59106 8558839 8517415
59107 8227386 8221318
59113 13280102 13289516
59114 109718667 109619442
59115 2950224 2963947
59116 216817700 216492414
59117 223758286 223629789
59118 231692835 231600600
59119 224888827 224461322
59120 25548784 25532097
59121 224242693 224291009
59122 61570808 61522350
59123 27691078 27691443
59124 5667528 5673324
59125 223408568 223418615
59126 162517670 162503168
59127 76307113 76371480
59128 219222713 219545990
59130 118499101 118377057
59131 16136918 16101954
59132 174772706 174516603
59133 180667065 180635047
59134 177483296 177450730
59135 193108729 193033792
59136 41521871 41771214
59137 228463908 228790801
59138 79065468 79074990
59139 93309897 93244946
59140 99687973 99660044
59141 96213329 96301463
59142 323677321 323695999
59143 161982314 162068247
59144 56665986 56737625
59145 194126980 194041313
59146 93449382 93490025
59147 70090873 70136847
59149 220125354 219811768
59150 4266610 4257123
59151 12696924 12699053
59152 46971107 47003356
59153 5906120 5915128
59154 108878821 108893531
59155 52191155 52242520
59165 27268709 27185733
